geohash,hour,demand
qp02yc,1,0.0053969651097159
qp02yc,2,0.019452390987216198
qp02yc,3,0.0264223751676618
qp02yc,6,0.014583812990146749
qp02yc,7,0.012256445456985635
qp02yc,9,0.0173624610652884
qp02yc,10,0.033974094938511404
qp02yf,11,0.0294325672228641
qp02yy,4,0.003916465292585
qp02yy,8,0.0018866761693395
qp02yz,2,0.0162829582440916
qp02yz,3,0.0111982284104744
qp02yz,4,0.023444019173389702
qp02yz,5,0.0435315352782388
qp02yz,6,0.0564220630725519
qp02yz,7,0.028652659454389166
qp02yz,8,0.0287684188838966
qp02yz,9,0.0179313103195961
qp02yz,10,0.05632039232946848
qp02yz,11,0.02828085697440197
qp02yz,12,0.0254851384402304
qp02yz,15,0.05036394831342015
qp02z1,0,0.034854566247217056
qp02z1,1,0.06481375393459678
qp02z1,2,0.060869233527137835
qp02z1,3,0.04558498675863268
qp02z1,4,0.009995577196556749
qp02z1,5,0.020028102503563197
qp02z1,6,0.00873384546449375
qp02z1,8,0.019275355665691368
qp02z1,12,0.0575739874652212
qp02z1,13,0.0012173845841896
qp02z3,0,0.0302598747774543
qp02z3,1,0.01440915078982825
qp02z3,2,0.0111752816141808
qp02z3,3,0.0017568655196992
qp02z3,4,0.0092571996867808
qp02z3,5,0.026105362499721597
qp02z3,6,0.0395279846311618
qp02z3,7,0.021349729244591248
qp02z3,9,0.0279934133173811
qp02z3,10,0.0301821910065281
qp02z3,11,0.0125806121037007
qp02z3,12,0.005105535517298543
qp02z3,13,0.0119368719679375
qp02z3,14,0.0351050729761804
qp02z3,16,0.01699562432664777
qp02z3,17,0.0154224795804711
qp02z4,3,0.0074699949588219
qp02z4,5,0.0441335081914785
qp02z4,7,0.0019373305363215
qp02z4,11,0.0152814977508915
qp02z4,12,0.039622000886733864
qp02z4,14,0.0066876621716386
qp02z5,0,0.01567684789381125
qp02z5,1,0.0177820707798015
qp02z5,4,0.0330731523154879
qp02z5,5,0.03760836224097725
qp02z5,6,0.029400766441881228
qp02z5,7,0.0209642049394314
qp02z5,8,0.059415618230152296
qp02z5,9,0.0692447767645682
qp02z5,10,0.016036368288136024
qp02z5,11,0.03317554267739242
qp02z5,12,0.021269385289882065
qp02z5,13,0.0514584863804301
qp02z5,14,0.073956847875635
qp02z6,0,0.00716687515182955
qp02z6,1,0.005862358095047166
qp02z6,2,0.0703051042500913
qp02z6,3,0.02392947584421045
qp02z6,4,0.018323018168063233
qp02z6,5,0.06628531839982282
qp02z6,6,0.0343496433818595
qp02z6,7,0.0621593828720035
qp02z6,8,0.0852498178534236
qp02z6,9,0.0475758768192387
qp02z6,10,0.02491156649891693
qp02z6,11,0.027999863093688404
qp02z6,12,0.05429462542401756
qp02z6,13,0.03799267494004867
qp02z6,14,0.0116021348211308
qp02z7,1,0.0013608642472016
qp02z7,3,0.0077073895506832
qp02z7,4,0.0750867796325445
qp02z7,5,0.019581957600116967
qp02z7,6,0.019323270771720132
qp02z7,7,0.030509926561747266
qp02z7,8,0.0403563695250955
qp02z7,9,0.045746348250048974
qp02z7,10,0.0199534740482514
qp02z7,11,0.07265875220137147
qp02z7,12,0.038644526167157627
qp02z7,13,0.0199925108707554
qp02z7,15,0.0103919007634394
qp02z9,0,0.01348774595510175
qp02z9,1,0.0173641509489272
qp02z9,2,0.0115540609825313
qp02z9,4,0.0086841525515179
qp02z9,5,0.0116411198082789
qp02z9,6,0.0050141147774571
qp02z9,7,0.03974165659447045
qp02z9,8,0.03774982267185113
qp02z9,9,0.049818377553063745
qp02z9,10,0.0616964268221054
qp02z9,11,0.057288542913362876
qp02z9,12,0.0255146368584937
qp02z9,13,0.02282166601224105
qp02z9,14,0.028931255302450203
qp02z9,15,0.0417275063270724
qp02z9,23,0.0325271489256038
qp02zc,1,0.02383754217486755
qp02zc,2,0.0153054842507699
qp02zc,3,0.09059753107425987
qp02zc,4,0.08291465335350655
qp02zc,5,0.04355199217695543
qp02zc,6,0.06841172431466255
qp02zc,7,0.030720815765968027
qp02zc,8,0.04991958524095705
qp02zc,9,0.10690569074877287
qp02zc,10,0.01881963090016405
qp02zc,11,0.026851375492879852
qp02zc,12,0.050321093842427854
qp02zc,13,0.0158287282809946
qp02zc,14,0.01312976599631865
qp02zd,0,0.06258949766527248
qp02zd,1,0.0640093029973782
qp02zd,2,0.06041439150639033
qp02zd,3,0.07146234943107962
qp02zd,4,0.07745091822740617
qp02zd,5,0.031123131167768
qp02zd,6,0.051446379148984804
qp02zd,7,0.054316167487678875
qp02zd,8,0.05089355881050903
qp02zd,9,0.040537684552829946
qp02zd,10,0.06267331205863022
qp02zd,11,0.04670766827806986
qp02zd,12,0.051573197227973426
qp02zd,13,0.021910813062469024
qp02zd,14,0.0102365177485616
qp02ze,0,0.05204973123435501
qp02ze,1,0.04193617822675499
qp02ze,2,0.18957694914446227
qp02ze,3,0.10240983043638473
qp02ze,4,0.08358723977502848
qp02ze,5,0.10379445637590823
qp02ze,6,0.09053509479615905
qp02ze,7,0.09163580425217398
qp02ze,8,0.15345346719598058
qp02ze,9,0.03214901581774783
qp02ze,10,0.07208578914780704
qp02ze,11,0.12228909550911472
qp02ze,12,0.0707566834571087
qp02ze,13,0.050556464231069735
qp02ze,23,0.0516224760389296
qp02zf,1,0.0159296246093341
qp02zf,10,0.0062501576245411
qp02zg,0,0.03099985098979252
qp02zg,1,0.040935094899721705
qp02zg,2,0.0678431913827911
qp02zg,3,0.060213758101319924
qp02zg,4,0.05694502663384717
qp02zg,5,0.0510590027477571
qp02zg,6,0.0301650961228471
qp02zg,7,0.0432117029580425
qp02zg,8,0.0352940839854826
qp02zg,9,0.0264401279226587
qp02zg,10,0.0525943546897005
qp02zg,11,0.062428704021014525
qp02zg,12,0.028321987555458835
qp02zg,13,0.0176314857425541
qp02zg,14,0.0149326725127885
qp02zh,0,0.0109288373978678
qp02zh,1,0.022064967603331948
qp02zh,2,0.020220679872093097
qp02zh,3,0.0160679509334949
qp02zh,4,0.06827003226761585
qp02zh,5,0.09209551671751535
qp02zh,6,0.08386985027435502
qp02zh,7,0.24347382521055058
qp02zh,8,0.1627802231775759
qp02zh,9,0.20992812812153147
qp02zh,10,0.19870622934427942
qp02zh,11,0.31282928847531466
qp02zh,12,0.2746480009800423
qp02zh,13,0.1992569503385181
qp02zh,14,0.10586277861963345
qp02zh,15,0.024475941421177535
qp02zj,0,0.013370042375964966
qp02zj,1,0.01396778960171795
qp02zj,2,0.1735323959683056
qp02zj,3,0.20267848421377999
qp02zj,4,0.2874499329406477
qp02zj,5,0.34665844219172387
qp02zj,6,0.29587710109194343
qp02zj,7,0.22983871548849888
qp02zj,8,0.20790368653630284
qp02zj,9,0.15550844589956037
qp02zj,10,0.19633505336218277
qp02zj,11,0.18208873955629634
qp02zj,12,0.1717118533140033
qp02zj,13,0.17818351210953334
qp02zj,14,0.02843039604634095
qp02zj,15,0.0536019613105092
qp02zk,0,0.0242511699666067
qp02zk,1,0.046571032706852235
qp02zk,2,0.015907701324943988
qp02zk,4,0.04282454587627566
qp02zk,5,0.04289707617133973
qp02zk,6,0.03078831822287113
qp02zk,7,0.0474497174988439
qp02zk,8,0.031879690141429766
qp02zk,9,0.0709527306540174
qp02zk,10,0.01723760857566305
qp02zk,11,0.0827954245174474
qp02zk,12,0.0507551917307462
qp02zk,13,0.0123686391387441
qp02zm,0,0.016791790545233366
qp02zm,1,0.04166533370323115
qp02zm,2,0.08869730694276169
qp02zm,3,0.0698331359075679
qp02zm,4,0.043924651212996234
qp02zm,5,0.042772356887981075
qp02zm,6,0.08608837593461047
qp02zm,7,0.085940114758238
qp02zm,8,0.06283612056642846
qp02zm,9,0.03407443164048216
qp02zm,10,0.11951105060327526
qp02zm,11,0.13585486434715205
qp02zm,12,0.0497563737320586
qp02zm,13,0.10193211184088168
qp02zm,14,0.0063376637462577
qp02zm,15,0.0276144011813223
qp02zn,0,0.0212831798880489
qp02zn,1,0.027483947317512483
qp02zn,2,0.09695696860067435
qp02zn,3,0.09747096391527181
qp02zn,4,0.2400823801393837
qp02zn,5,0.1575091952212588
qp02zn,6,0.18113800621493933
qp02zn,7,0.13047463181425314
qp02zn,8,0.10068769645006242
qp02zn,9,0.1616868458309796
qp02zn,10,0.13821766702350685
qp02zn,11,0.20704098315066463
qp02zn,12,0.17766409568065292
qp02zn,13,0.16277687232927018
qp02zn,14,0.03662262546262525
qp02zp,0,0.0483311937272224
qp02zp,1,0.028007560566180586
qp02zp,2,0.0876938485461351
qp02zp,3,0.10638876552731655
qp02zp,4,0.18203531523276337
qp02zp,5,0.12331663706268112
qp02zp,6,0.12480881227222522
qp02zp,7,0.1399643225315278
qp02zp,8,0.06722162764450268
qp02zp,9,0.0817492053527896
qp02zp,10,0.09624934503970703
qp02zp,11,0.10809571477013061
qp02zp,12,0.11584279629672078
qp02zp,13,0.124940803960991
qp02zp,14,0.0018672042961715
qp02zp,22,0.0043426056422175
qp02zq,0,0.0207462300111395
qp02zq,1,0.0091805620060048
qp02zq,2,0.05116542207314406
qp02zq,3,0.05605966790690167
qp02zq,4,0.017119661764182264
qp02zq,5,0.028848405595115104
qp02zq,6,0.01498510340938085
qp02zq,7,0.02476920465140395
qp02zq,8,0.0142641759795771
qp02zq,9,0.0227481433754078
qp02zq,10,0.0293297901011154
qp02zq,11,0.03356334622827122
qp02zq,12,0.02507210762514945
qp02zq,13,0.0270964700995848
qp02zr,0,0.03016804833397818
qp02zr,1,0.03026501219901755
qp02zr,2,0.1374831436985471
qp02zr,3,0.17860472734092958
qp02zr,4,0.14344182648484338
qp02zr,5,0.16382506448383768
qp02zr,6,0.1909300348437152
qp02zr,7,0.15096472663996785
qp02zr,8,0.11032846976144894
qp02zr,9,0.18549078166593022
qp02zr,10,0.22373922640949612
qp02zr,11,0.3410709543377586
qp02zr,12,0.22683261679797764
qp02zr,13,0.09735584946039692
qp02zr,14,0.073213639365228
qp02zr,15,0.0490667816531177
qp02zs,0,0.02553088754975895
qp02zs,1,0.03327185597328418
qp02zs,2,0.08504961453489958
qp02zs,3,0.10569830524214492
qp02zs,4,0.05009119417534795
qp02zs,5,0.053280534042327576
qp02zs,6,0.10597524984766893
qp02zs,7,0.07447170437974643
qp02zs,8,0.11588912949338037
qp02zs,9,0.04232412294600828
qp02zs,10,0.08183510491687518
qp02zs,11,0.11710728136682172
qp02zs,12,0.05783704187970892
qp02zs,13,0.05723926292099452
qp02zs,14,0.01143453425042985
qp02zt,0,0.1409982921809436
qp02zt,1,0.17444547216159534
qp02zt,2,0.15428934816356119
qp02zt,3,0.24840361961613744
qp02zt,4,0.3293384361791771
qp02zt,5,0.26103416586011263
qp02zt,6,0.35651467383244606
qp02zt,7,0.312809795210534
qp02zt,8,0.3471738421761931
qp02zt,9,0.23173676968367227
qp02zt,10,0.21955961875186228
qp02zt,11,0.29786714540919
qp02zt,12,0.3153247085029258
qp02zt,13,0.23844131591040585
qp02zt,14,0.16269081809542085
qp02zt,15,0.17522982657398808
qp02zt,16,0.12424503485111149
qp02zt,17,0.1159313965593328
qp02zt,18,0.055223435371847124
qp02zt,19,0.01249478779631125
qp02zt,23,0.04704906949856415
qp02zu,0,0.0195683636039958
qp02zu,1,0.010382652659417
qp02zu,2,0.0071796946577371
qp02zu,3,0.03647336360028943
qp02zu,4,0.061466343754246026
qp02zu,5,0.08519095103011873
qp02zu,6,0.040898146189883675
qp02zu,7,0.058097243879605874
qp02zu,8,0.015504445103866366
qp02zu,9,0.0160997079754797
qp02zu,10,0.0242425795852077
qp02zu,11,0.033728830339452426
qp02zu,12,0.0564869577810325
qp02zu,13,0.0377420172878855
qp02zu,14,0.0561872860397442
qp02zu,15,0.031012682067367348
qp02zv,0,0.028093639580039034
qp02zv,1,0.036331859895234075
qp02zv,2,0.027870946989155425
qp02zv,3,0.00319130682894905
qp02zv,4,0.09136784689545045
qp02zv,5,0.12112662127311433
qp02zv,6,0.21919346984387983
qp02zv,7,0.1303873017115972
qp02zv,8,0.1168110275924517
qp02zv,9,0.0675714076506739
qp02zv,10,0.084804275637852
qp02zv,11,0.04756915874408241
qp02zv,12,0.0104153892117517
qp02zw,0,0.07047600337632684
qp02zw,1,0.2228952970448322
qp02zw,2,0.3468312966606252
qp02zw,3,0.5431011793912142
qp02zw,4,0.777248647900616
qp02zw,5,0.6467753409823767
qp02zw,6,0.680916929837934
qp02zw,7,0.6191093365011924
qp02zw,8,0.6837653726731747
qp02zw,9,0.7057796715870698
qp02zw,10,0.7027833733473332
qp02zw,11,0.8313848534159658
qp02zw,12,0.8609386566083493
qp02zw,13,0.887004627154226
qp02zw,14,0.49811613397689836
qp02zw,15,0.238126028269366
qp02zw,17,0.009803881023622
qp02zw,18,0.0366490436849294
qp02zw,22,0.0197326552949603
qp02zw,23,0.0189677755266679
qp02zx,0,0.08120913882973327
qp02zx,1,0.09959737331252695
qp02zx,2,0.11221319626234175
qp02zx,3,0.3706706038972758
qp02zx,4,0.431759490891343
qp02zx,5,0.46409853868084683
qp02zx,6,0.4935446289768319
qp02zx,7,0.35602000593946315
qp02zx,8,0.3360632607798988
qp02zx,9,0.4319325868201977
qp02zx,10,0.5263448209122255
qp02zx,11,0.6214726070950713
qp02zx,12,0.6501184763929606
qp02zx,13,0.5418908039492903
qp02zx,14,0.31383072657209593
qp02zx,15,0.15992012779213532
qp02zx,16,0.1251320816276429
qp02zx,17,0.0247708781464045
qp02zx,22,0.03274371155848875
qp02zx,23,0.031257734891606694
qp02zy,0,0.08020244444323729
qp02zy,1,0.0951824416855329
qp02zy,2,0.16060187721279187
qp02zy,3,0.13906072290353294
qp02zy,4,0.21295721430617895
qp02zy,5,0.14936259550565967
qp02zy,6,0.16794568751179292
qp02zy,7,0.11287975148848166
qp02zy,8,0.14987362033309853
qp02zy,9,0.16426839150878253
qp02zy,10,0.1429143081497053
qp02zy,11,0.2054092312475972
qp02zy,12,0.20892360672076027
qp02zy,13,0.11227143714184185
qp02zy,14,0.08042357748654283
qp02zy,15,0.00314315094873955
qp02zy,23,0.0253509611128749
qp02zz,0,0.2125761070042173
qp02zz,1,0.3123439426571003
qp02zz,2,0.3904953494758263
qp02zz,3,0.38827541492579815
qp02zz,4,0.4656175865263947
qp02zz,5,0.37121722096764
qp02zz,6,0.45585602497696565
qp02zz,7,0.420390333803063
qp02zz,8,0.31722023426387025
qp02zz,9,0.3731835620069114
qp02zz,10,0.5410701408488923
qp02zz,11,0.5704516718959067
qp02zz,12,0.5536244262553442
qp02zz,13,0.4571969018676265
qp02zz,14,0.2749083524105278
qp02zz,15,0.22958611407365367
qp02zz,16,0.24088684972312713
qp02zz,17,0.11084469266955775
qp02zz,18,0.04484429811035514
qp02zz,19,0.0835012036548213
qp02zz,22,0.06904411251210053
qp02zz,23,0.11561803551996175
qp03jq,0,0.017809319000506037
qp03jq,1,0.025564554518969614
qp03jq,2,0.02080901699908172
qp03jq,3,0.0307744805887078
qp03jq,4,0.028491430803920748
qp03jq,5,0.04158721294317597
qp03jq,6,0.032220237804468276
qp03jq,7,0.04089702231870488
qp03jq,8,0.03776366946504647
qp03jq,9,0.0417330561237322
qp03jq,10,0.03213153118568057
qp03jq,11,0.021960985678897302
qp03jq,12,0.029918885254753724
qp03jq,13,0.0457886812079479
qp03jq,14,0.029761293335865073
qp03jq,15,0.011942464362582825
qp03jq,16,0.002351900246667
qp03jq,17,0.009250439272698
qp03jq,19,0.020925837692497
qp03jq,20,0.01254981963784935
qp03jq,21,0.016428487981855276
qp03jq,22,0.0139942475595796
qp03jq,23,0.030066664923715847
qp03jr,0,0.023987814017971086
qp03jr,1,0.02583309901188579
qp03jr,2,0.02339481152354232
qp03jr,3,0.0266879531624589
qp03jr,4,0.023910450334035202
qp03jr,5,0.0222484614295906
qp03jr,6,0.03480697578240685
qp03jr,7,0.024093007975141776
qp03jr,8,0.0378367568995904
qp03jr,9,0.0240681746423704
qp03jr,10,0.019348130654738175
qp03jr,11,0.03646622642910055
qp03jr,12,0.014991297129625
qp03jr,13,0.030716429820183824
qp03jr,14,0.030453779150111774
qp03jr,15,0.0086649211117612
qp03jr,16,0.0051597474109151
qp03jr,18,0.00250219318356605
qp03jr,19,0.0010965402764966
qp03jr,20,0.020650474771880666
qp03jr,21,0.01298583612436955
qp03jr,22,0.026375317091018972
qp03jr,23,0.015480581549791126
qp03jw,0,0.021273307062996513
qp03jw,1,0.0160189693315912
qp03jw,2,0.03669398266012984
qp03jw,3,0.0252307857864127
qp03jw,4,0.03565779069623975
qp03jw,5,0.050566374412302224
qp03jw,6,0.0338905562119907
qp03jw,7,0.0312443883549248
qp03jw,8,0.026664716718473626
qp03jw,9,0.021099355511771174
qp03jw,10,0.0387962029757176
qp03jw,11,0.024866904435793376
