iter	Passed	Remaining
0	22	112848
1	54	136008
2	85	142074
3	116	146080
4	147	147559
5	185	154077
6	206	147398
7	234	146572
8	255	141959
9	285	142566
10	311	141069
11	340	141404
12	374	143507
13	406	144851
14	439	146009
15	468	145817
16	499	146455
17	519	143783
18	546	143248
19	579	144269
20	612	145160
21	643	145623
22	669	144837
23	700	145133
24	722	143695
25	753	144137
26	784	144471
27	816	144916
28	845	144956
29	877	145454
30	906	145326
31	939	145817
32	972	146442
33	1003	146542
34	1039	147489
35	1076	148473
36	1128	151422
37	1159	151368
38	1192	151711
39	1223	151712
40	1254	151708
41	1283	151529
42	1314	151498
43	1345	151596
44	1372	151139
45	1404	151239
46	1436	151352
47	1467	151375
48	1498	151372
49	1527	151188
50	1557	151182
51	1589	151208
52	1619	151120
53	1651	151240
54	1683	151343
55	1713	151286
56	1744	151316
57	1774	151241
58	1805	151214
59	1836	151164
60	1864	150962
61	1895	150978
62	1925	150895
63	1953	150660
64	1986	150854
65	2019	150944
66	2050	150938
67	2074	150473
68	2105	150496
69	2136	150463
70	2160	149954
71	2190	149919
72	2222	150012
73	2249	149737
74	2277	149573
75	2309	149607
76	2338	149523
77	2367	149416
78	2398	149429
79	2427	149273
80	2457	149223
81	2486	149158
82	2515	149037
83	2545	148986
84	2576	148999
85	2608	149050
86	2637	148923
87	2665	148807
88	2695	148729
89	2724	148629
90	2752	148498
91	2783	148518
92	2815	148578
93	2845	148514
94	2878	148633
95	2909	148639
96	2940	148630
97	2970	148609
98	2999	148492
99	3031	148545
100	3062	148537
101	3092	148497
102	3118	148255
103	3148	148228
104	3176	148066
105	3198	147693
106	3229	147665
107	3255	147475
108	3284	147370
109	3315	147401
110	3339	147070
111	3370	147092
112	3398	146977
113	3429	146971
114	3459	146942
115	3491	146995
116	3522	147029
117	3551	146930
118	3582	146926
119	3611	146872
120	3640	146790
121	3671	146807
122	3700	146728
123	3730	146697
124	3762	146718
125	3792	146719
126	3817	146460
127	3845	146377
128	3879	146498
129	3915	146668
130	3947	146707
131	3978	146729
132	4009	146730
133	4040	146736
134	4065	146512
135	4095	146470
136	4127	146528
137	4158	146522
138	4191	146570
139	4219	146484
140	4246	146328
141	4277	146328
142	4307	146297
143	4337	146275
144	4367	146222
145	4397	146206
146	4427	146162
147	4457	146133
148	4487	146103
149	4522	146215
150	4551	146161
151	4582	146163
152	4612	146114
153	4640	146021
154	4670	145985
155	4700	145967
156	4733	146013
157	4763	145995
158	4794	145980
159	4825	145967
160	4854	145895
161	4883	145837
162	4917	145911
163	4944	145801
164	4973	145748
165	5003	145699
166	5033	145673
167	5063	145634
168	5094	145634
169	5128	145716
170	5156	145624
171	5187	145615
172	5218	145612
173	5250	145614
174	5281	145604
175	5308	145510
176	5338	145462
177	5368	145434
178	5400	145458
179	5432	145468
180	5463	145455
181	5493	145436
182	5522	145377
183	5553	145358
184	5585	145377
185	5617	145382
186	5647	145347
187	5675	145274
188	5708	145298
189	5739	145299
190	5784	145637
191	5824	145860
192	5868	146163
193	5910	146430
194	5955	146753
195	5986	146728
196	6025	146895
197	6066	147126
198	6105	147295
199	6135	147258
200	6177	147491
201	6224	147837
202	6266	148081
203	6308	148319
204	6337	148238
205	6377	148405
206	6413	148499
207	6454	148697
208	6498	148965
209	6531	148985
210	6570	149133
211	6612	149341
212	6659	149668
213	6712	150115
214	6757	150385
215	6794	150480
216	6832	150593
217	6866	150631
218	6901	150670
219	6935	150685
220	6970	150728
221	7003	150724
222	7026	150511
223	7057	150471
224	7081	150294
225	7114	150277
226	7147	150279
227	7179	150265
228	7210	150226
229	7240	150168
230	7275	150199
231	7299	150025
232	7330	149978
233	7362	149964
234	7391	149869
235	7423	149862
236	7457	149865
237	7487	149805
238	7519	149788
239	7552	149785
240	7579	149677
241	7613	149691
242	7645	149673
243	7676	149628
244	7710	149655
245	7742	149626
246	7776	149640
247	7808	149628
248	7841	149619
249	7872	149578
250	7906	149590
251	7936	149531
252	7974	149633
253	8007	149618
254	8040	149622
255	8072	149592
256	8103	149550
257	8135	149530
258	8169	149541
259	8200	149499
260	8236	149545
261	8270	149555
262	8301	149521
263	8332	149478
264	8367	149504
265	8396	149434
266	8431	149467
267	8463	149430
268	8492	149363
269	8518	149228
270	8548	149166
271	8572	149010
272	8604	148992
273	8638	148997
274	8667	148923
275	8700	148911
276	8726	148785
277	8756	148732
278	8785	148656
279	8817	148636
280	8840	148458
281	8866	148348
282	8899	148331
283	8931	148319
284	8963	148284
285	8996	148279
286	9022	148170
287	9055	148160
288	9085	148101
289	9114	148028
290	9145	147993
291	9175	147944
292	9204	147870
293	9235	147825
294	9267	147807
295	9299	147784
296	9331	147771
297	9360	147692
298	9389	147627
299	9416	147531
300	9449	147518
301	9483	147522
302	9512	147456
303	9544	147443
304	9579	147462
305	9609	147405
306	9641	147385
307	9670	147311
308	9698	147234
309	9727	147172
310	9759	147150
311	9792	147140
312	9822	147087
313	9855	147080
314	9888	147076
315	9923	147088
316	9953	147045
317	9986	147033
318	10013	146932
319	10040	146848
320	10072	146826
321	10105	146816
322	10141	146847
323	10173	146828
324	10206	146816
325	10249	146945
326	10279	146901
327	10311	146871
328	10337	146768
329	10367	146719
330	10397	146671
331	10430	146655
332	10461	146623
333	10493	146598
334	10527	146593
335	10557	146543
336	10592	146569
337	10625	146551
338	10657	146528
339	10687	146488
340	10719	146464
341	10750	146418
342	10780	146366
343	10808	146289
344	10837	146223
345	10868	146190
346	10901	146178
347	10929	146106
348	10960	146070
349	10994	146066
350	11026	146048
351	11053	145956
352	11082	145892
353	11113	145858
354	11143	145811
355	11174	145766
356	11208	145769
357	11239	145742
358	11273	145738
359	11304	145706
360	11334	145646
361	11365	145621
362	11397	145594
363	11430	145580
364	11461	145550
365	11495	145543
366	11524	145480
367	11557	145469
368	11587	145430
369	11618	145387
370	11649	145352
371	11686	145385
372	11723	145428
373	11756	145418
374	11786	145364
375	11817	145328
376	11848	145296
377	11877	145233
378	11914	145270
379	11946	145250
380	11976	145195
381	12008	145165
382	12038	145127
383	12070	145101
384	12101	145055
385	12131	145016
386	12162	144971
387	12185	144840
388	12216	144808
389	12246	144765
390	12274	144687
391	12306	144662
392	12337	144626
393	12366	144566
394	12398	144539
395	12428	144495
396	12458	144453
397	12490	144430
398	12521	144394
399	12554	144375
400	12578	144254
401	12609	144222
402	12641	144199
403	12670	144142
404	12701	144101
405	12731	144060
406	12761	144012
407	12791	143970
408	12822	143926
409	12854	143902
410	12884	143860
411	12915	143828
412	12948	143811
413	12975	143736
414	13007	143712
415	13041	143707
416	13073	143686
417	13103	143632
418	13132	143574
419	13163	143547
420	13195	143520
421	13219	143413
422	13247	143341
423	13278	143305
424	13308	143262
425	13337	143201
426	13366	143154
427	13397	143111
428	13425	143044
429	13457	143030
430	13488	142991
431	13518	142941
432	13548	142901
433	13578	142860
434	13607	142799
435	13635	142734
436	13670	142737
437	13704	142739
438	13734	142696
439	13763	142641
440	13794	142608
441	13825	142573
442	13858	142557
443	13888	142518
444	13919	142478
445	13947	142417
446	13976	142360
447	14008	142333
448	14041	142320
449	14074	142307
450	14106	142284
451	14137	142254
452	14168	142215
453	14201	142201
454	14233	142178
455	14262	142127
456	14298	142135
457	14327	142084
458	14357	142045
459	14386	141991
460	14421	141992
461	14451	141946
462	14483	141926
463	14519	141936
464	14547	141879
465	14573	141794
466	14604	141758
467	14634	141716
468	14665	141685
469	14702	141704
470	14735	141690
471	14766	141662
472	14798	141631
473	14833	141634
474	14864	141600
475	14894	141556
476	14924	141519
477	14956	141494
478	14986	141448
479	15022	141458
480	15052	141415
481	15089	141436
482	15120	141404
483	15152	141383
484	15181	141330
485	15214	141316
486	15244	141265
487	15278	141263
488	15307	141211
489	15338	141173
490	15367	141128
491	15398	141093
492	15431	141071
493	15462	141040
494	15494	141018
495	15526	140989
496	15557	140959
497	15586	140907
498	15619	140892
499	15651	140866
500	15681	140820
501	15711	140779
502	15745	140767
503	15769	140676
504	15800	140643
505	15834	140632
506	15870	140641
507	15902	140617
508	15935	140602
509	15968	140583
510	15993	140502
511	16014	140373
512	16043	140328
513	16075	140300
514	16107	140277
515	16137	140230
516	16166	140183
517	16196	140144
518	16228	140112
519	16256	140054
520	16286	140011
521	16316	139975
522	16343	139902
523	16374	139874
524	16405	139837
525	16436	139802
526	16470	139794
527	16500	139757
528	16531	139718
529	16560	139668
530	16587	139607
531	16619	139582
532	16645	139500
533	16669	139407
534	16700	139382
535	16731	139346
536	16764	139327
537	16795	139295
538	16829	139286
539	16860	139254
540	16891	139220
541	16918	139158
542	16949	139122
543	16983	139113
544	17018	139117
545	17048	139075
546	17080	139051
547	17113	139032
548	17140	138962
549	17171	138936
550	17202	138899
551	17235	138883
552	17267	138858
553	17293	138785
554	17325	138760
555	17356	138729
556	17387	138697
557	17421	138683
558	17451	138642
559	17483	138619
560	17516	138600
561	17548	138580
562	17583	138572
563	17616	138555
564	17649	138542
565	17681	138516
566	17714	138495
567	17747	138477
568	17770	138387
569	17800	138345
570	17831	138314
571	17856	138232
572	17880	138145
573	17911	138111
574	17939	138055
575	17969	138013
576	17999	137977
577	18029	137931
578	18053	137851
579	18085	137823
580	18115	137783
581	18146	137753
582	18178	137724
583	18213	137721
584	18246	137703
585	18277	137673
586	18308	137639
587	18339	137606
588	18368	137564
589	18403	137561
590	18439	137564
591	18473	137554
592	18506	137533
593	18538	137507
594	18578	137541
595	18610	137521
596	18642	137494
597	18678	137493
598	18708	137456
599	18734	137388
600	18771	137395
601	18803	137368
602	18833	137332
603	18864	137300
604	18896	137274
605	18928	137244
606	18956	137189
607	18990	137180
608	19021	137149
609	19054	137131
610	19090	137129
611	19122	137105
612	19151	137063
613	19184	137043
614	19212	136984
615	19242	136945
616	19273	136915
617	19305	136885
618	19335	136851
619	19364	136802
620	19394	136759
621	19421	136702
622	19447	136630
623	19478	136599
624	19505	136540
625	19536	136507
626	19568	136479
627	19593	136407
